date,value
2023-12-02,97.9126
2023-12-01,96.8827
2023-11-30,97.6503
2023-11-29,97.0659
2023-11-28,97.1594
2023-11-25,96.9187
2023-11-24,96.2273
2023-11-23,96.1475
2023-11-22,96.2561
2023-11-21,96.6597
2023-11-18,96.7692
2023-11-17,96.5921
2023-11-16,97.1334
2023-11-15,97.7781
2023-11-14,98.5314
2023-11-11,98.3155
2023-11-10,98.4076
2023-11-09,98.4403
2023-11-08,98.7863
2023-11-04,99.0111
2023-11-03,98.9995
2023-11-02,98.4365
2023-11-01,97.9345
2023-10-31,98.6164
2023-10-28,98.3504
2023-10-27,98.7376
2023-10-26,98.6543
2023-10-25,99.5534
2023-10-24,100.303
2023-10-21,101.4257
2023-10-20,102.6255
2023-10-19,102.9059
2023-10-18,102.7527
2023-10-17,102.52
2023-10-14,102.5523
2023-10-13,103.035
2023-10-12,105.9544
2023-10-11,105.6864
2023-10-10,107.0322
2023-10-07,106.01
2023-10-06,104.7877
2023-10-05,104.3024
2023-10-04,104.0621
2023-10-03,103.868
2023-09-30,103.1631
2023-09-29,102.0979
2023-09-28,101.978
2023-09-27,101.9888
2023-09-26,102.2453
2023-09-23,102.2485
2023-09-22,102.3606
2023-09-21,103.3699
2023-09-20,102.9211
2023-09-19,103.0945
2023-09-16,103.0358
2023-09-15,103.2289
2023-09-14,103.1066
2023-09-13,101.5646
2023-09-12,103.5332
2023-09-09,104.8872
2023-09-08,105.2776
2023-09-07,105.0789
2023-09-06,104.9043
2023-09-05,104.4171
2023-09-02,104.6108
2023-09-01,104.9407
2023-08-31,104.4496
2023-08-30,103.4765
2023-08-29,103.2434
2023-08-26,102.2586
2023-08-25,102.4719
2023-08-24,102.2452
2023-08-23,102.753
2023-08-22,102.5719
2023-08-19,101.4802
2023-08-18,102.181
2023-08-17,105.6591
2023-08-16,106.5736
2023-08-15,110.6847
2023-08-12,107.9723
2023-08-11,107.1563
2023-08-10,106.8897
2023-08-09,105.4352
2023-08-08,106.0543
2023-08-05,103.8379
2023-08-04,102.531
2023-08-03,101.9268
2023-08-02,100.6988
2023-08-01,100.9428
2023-07-29,99.9586
2023-07-28,100.2173
2023-07-27,99.7156
2023-07-26,99.6918
2023-07-25,100.3614
2023-07-22,100.6562
2023-07-21,101.833
2023-07-20,102.4441
2023-07-19,102.0271
2023-07-18,101.6496
2023-07-15,101.1992
2023-07-14,100.6788
2023-07-13,99.889
2023-07-12,99.6775
2023-07-11,100.4155
2023-07-08,99.8189
2023-07-07,100.7163
2023-07-06,98.4144
2023-07-05,97.7382
2023-07-04,97.2582
2023-07-01,96.0195
2023-06-30,95.1052
2023-06-29,93.8644
2023-06-28,93.1373
2023-06-27,92.2969
2023-06-24,91.4933
2023-06-23,91.943
2023-06-22,92.0014
2023-06-21,92.0745
2023-06-20,91.7966
2023-06-17,91.6329
2023-06-16,90.9665
2023-06-15,91.0668
2023-06-14,90.3899
2023-06-10,89.0057
2023-06-09,88.0379
2023-06-08,87.1651
2023-06-07,86.9519
2023-06-06,87.0318
2023-06-03,87.101
2023-06-02,86.5764
2023-06-01,86.5009
2023-05-31,86.5119
2023-05-30,85.9013
2023-05-27,85.919
2023-05-26,85.8767
2023-05-25,86.1995
2023-05-24,86.5502
2023-05-23,86.4963
2023-05-20,86.277
2023-05-19,86.4964
2023-05-18,87.5749
2023-05-17,87.1619
2023-05-16,86.0862
2023-05-13,84.25
2023-05-12,82.8877
2023-05-11,84.1498
2023-05-06,84.9073
2023-05-05,86.9986
2023-05-04,87.575
2023-05-03,87.6556
2023-04-29,88.3712
2023-04-28,90.2023
2023-04-27,90.1436
2023-04-26,90.0332
2023-04-25,89.4589
2023-04-22,89.3495
2023-04-21,89.4638
2023-04-20,89.3736
2023-04-19,89.5713
2023-04-18,89.659
2023-04-15,90.1637
2023-04-14,90.0035
2023-04-13,89.7599
2023-04-12,89.7271
2023-04-11,89.1737
2023-04-08,90.2892
2023-04-07,88.1294
2023-04-06,87.0954
2023-04-05,86.7207
2023-04-04,84.6185
2023-04-01,84.1116
2023-03-31,83.7639
2023-03-30,83.4859
2023-03-29,82.775
2023-03-28,82.2913
2023-03-25,82.3923
2023-03-24,83.1452
2023-03-23,82.967
2023-03-22,82.5428
2023-03-21,82.3736
2023-03-18,81.4635
2023-03-17,81.1418
2023-03-16,80.8763
2023-03-15,80.5192
2023-03-14,80.6102
2023-03-11,80.4009
2023-03-10,80.1372
2023-03-08,80.5496
2023-03-07,80.2353
2023-03-04,80.0469
2023-03-03,80.1897
2023-03-02,80.1008
2023-03-01,79.5134
2023-02-28,79.623
2023-02-23,79.5716
2023-02-22,79.7588
2023-02-21,79.133
2023-02-18,79.6104
2023-02-17,79.9764
2023-02-16,79.5654
2023-02-15,79.3355
2023-02-14,78.671
2023-02-11,78.0542
2023-02-10,78.3223
2023-02-09,76.8344
2023-02-08,75.9087
2023-02-07,76.0347
2023-02-04,76.7344
2023-02-03,76.9564
2023-02-02,76.2245
2023-02-01,76.3004
2023-01-31,75.7799
2023-01-28,75.4062
2023-01-27,75.3348
2023-01-26,74.9564
2023-01-25,74.6948
2023-01-24,74.7307
2023-01-21,74.3434
2023-01-20,74.4058
2023-01-19,74.5882
2023-01-18,74.2646
2023-01-17,73.8298
2023-01-14,73.1131
2023-01-13,72.7908
2023-01-12,74.1361
2023-01-11,74.5438
2023-01-10,75.0785
2022-12-31,75.6553
2022-12-30,76.0765
2022-12-29,75.66
2022-12-28,74.1829
2022-12-27,72.6226
2022-12-24,73.0407
2022-12-23,76.6446
2022-12-22,75.0914
2022-12-21,73.3389
2022-12-20,70.6196
2022-12-17,68.7798
2022-12-16,68.447
2022-12-15,67.4478
2022-12-14,66.7017
2022-12-13,66.27
2022-12-10,65.8407
2022-12-09,65.6762
2022-12-08,65.8966
2022-12-07,66.1087
2022-12-06,65.5205
2022-12-03,64.9868
2022-12-02,63.8279
2022-12-01,63.0504
2022-11-30,63.3882
2022-11-29,63.3008
2022-11-26,62.8762
2022-11-25,62.7814
2022-11-24,62.285
2022-11-23,62.1774
2022-11-22,62.1245
2022-11-19,62.4484
2022-11-18,62.5712
2022-11-17,62.6675
2022-11-16,62.6297
2022-11-15,62.1554
2022-11-12,61.5416
2022-11-11,61.0037
2022-11-10,61.2445
2022-11-09,60.8231
2022-11-08,60.9013
2022-11-04,60.6071
2022-11-03,60.9216
2022-11-02,60.9668
2022-11-01,61.1196
2022-10-29,61.1328
2022-10-28,61.5718
2022-10-27,61.5682
2022-10-26,60.4648
2022-10-25,60.1575
2022-10-22,59.8378
2022-10-21,60.4371
2022-10-20,60.1086
2022-10-19,60.53
2022-10-18,60.5608
2022-10-15,62.4695
2022-10-14,62.5903
2022-10-13,62.5867
2022-10-12,62.3481
2022-10-11,60.8019
2022-10-08,59.9756
2022-10-07,58.2392
2022-10-06,58.0613
2022-10-05,56.1725
2022-10-04,54.3947
2022-10-01,52.7379
2022-09-30,55.4064
2022-09-29,55.7232
2022-09-28,55.9953
2022-09-27,55.9278
2022-09-24,56.4751
2022-09-23,58.9388
2022-09-22,60.211
2022-09-21,60.0507
2022-09-20,60.0426
2022-09-17,59.874
2022-09-16,59.6196
2022-09-15,59.8368
2022-09-14,60.9364
2022-09-13,61.3127
2022-09-10,60.8571
2022-09-09,60.6952
2022-09-08,60.5458
2022-09-07,60.4929
2022-09-06,60.1408
2022-09-03,60.2187
2022-09-02,60.2842
2022-09-01,60.2141
2022-08-31,60.5752
2022-08-30,59.9608
2022-08-27,59.8784
2022-08-26,59.5983
2022-08-25,59.5082
2022-08-24,59.3304
2022-08-23,59.5344
2022-08-20,59.3934
2022-08-19,60.8957
2022-08-18,61.8322
2022-08-17,62.3551
2022-08-16,62.5056
2022-08-13,62.5355
2022-08-12,62.5156
2022-08-11,61.704
2022-08-10,61.5542
2022-08-09,61.1615
2022-08-06,61.361
2022-08-05,61.0872
2022-08-04,61.1243
2022-08-03,61.2656
2022-08-02,63.2468
2022-07-30,62.5695
2022-07-29,61.2171
2022-07-28,61.0032
2022-07-27,59.4068
2022-07-26,58.6741
2022-07-23,57.7608
2022-07-22,57.1133
2022-07-21,55.826
2022-07-20,56.4463
2022-07-19,57.1526
2022-07-16,57.8851
2022-07-15,58.3432
2022-07-14,58.9002
2022-07-13,58.7643
2022-07-12,61.8056
2022-07-09,62.0499
2022-07-08,64.1349
2022-07-07,64.326
2022-07-06,60.1618
2022-07-05,57.1836
2022-07-02,56.3584
2022-07-01,54.6405
2022-06-30,53.858
2022-06-29,55.8886
2022-06-28,56.0535
2022-06-25,55.964
2022-06-24,55.9886
2022-06-23,55.8307
2022-06-22,57.4566
2022-06-21,58.8003
2022-06-18,59.3299
2022-06-17,58.9568
2022-06-16,59.1204
2022-06-15,59.2481
2022-06-11,60.9656
2022-06-10,62.0934
2022-06-09,63.938
2022-06-08,64.5699
2022-06-07,64.8669
2022-06-04,65.9191
2022-06-03,64.9053
2022-06-02,63.6629
2022-06-01,62.7397
2022-05-31,64.717
2022-05-28,69.4353
2022-05-27,64.4392
2022-05-26,57.921
2022-05-25,58.8705
2022-05-24,60.3851
2022-05-21,60.8953
2022-05-20,64.9358
2022-05-19,66.6135
2022-05-18,66.3644
2022-05-17,65.8166
2022-05-14,65.7939
2022-05-13,68.7835
2022-05-12,72.6314
2022-05-07,71.0963
2022-05-06,70.0662
2022-05-05,72.7815
2022-04-30,74.5589
2022-04-29,75.3117
2022-04-28,75.9224
2022-04-27,76.667
2022-04-26,77.4651
2022-04-23,80.0249
2022-04-22,81.2239
2022-04-21,83.2705
2022-04-20,85.9674
2022-04-19,86.4289
2022-04-16,87.0715
2022-04-15,88.0024
2022-04-14,86.7219
2022-04-13,86.7939
2022-04-12,85.9752
2022-04-09,81.7064
2022-04-08,83.293
2022-04-07,90.5998
2022-04-06,91.7289
2022-04-05,92.3872
2022-04-02,92.1468
2022-04-01,92.493
2022-03-31,93.696
2022-03-30,96.0085
2022-03-29,102.6714
2022-03-26,105.2662
2022-03-25,105.4679
2022-03-24,113.2613
2022-03-23,114.7833
2022-03-22,115.6002
2022-03-19,114.3996
2022-03-18,115.9311
2022-03-17,118.7601
2022-03-16,122.4522
2022-03-15,127.2343
2022-03-12,128.9523
2022-03-11,132.9581
2022-03-10,126.4395
2022-03-06,115.6212
2022-03-05,116.5312
2022-03-04,124.0161
2022-03-03,114.5544
2022-03-02,102.9112
2022-03-01,104.4772
2022-02-26,93.5994
2022-02-25,97.7688
2022-02-23,90.882
2022-02-22,87.3379
2022-02-19,86.1489
2022-02-18,86.1308
2022-02-17,85.306
2022-02-16,86.2656
2022-02-15,86.8451
2022-02-12,85.3574
2022-02-11,85.3798
2022-02-10,85.3784
2022-02-09,85.892
2022-02-08,86.5181
2022-02-05,87.1163
2022-02-04,86.561
2022-02-03,86.2826
2022-02-02,86.7869
2022-02-01,86.5032
2022-01-29,86.6419
2022-01-28,88.468
2022-01-27,89.1511
2022-01-26,88.9286
2022-01-25,87.5925
2022-01-22,86.9054
2022-01-21,86.8215
2022-01-20,87.1318
2022-01-19,87.0216
2022-01-18,86.8609
2022-01-15,86.8894
2022-01-14,85.4556
2022-01-13,84.6709
2022-01-12,84.8784
2022-01-11,85.1315
2021-12-31,84.0695
2021-12-30,83.204
2021-12-29,83.2194
2021-12-28,82.9363
2021-12-25,82.93
2021-12-24,83.1223
2021-12-23,83.1541
2021-12-22,83.3213
2021-12-21,83.6187
2021-12-18,83.5026
2021-12-17,83.1571
2021-12-16,83.2375
2021-12-15,82.8299
2021-12-14,82.866
2021-12-11,83.1158
2021-12-10,83.3444
2021-12-09,83.364
2021-12-08,83.7114
2021-12-07,83.1138
2021-12-04,83.2406
2021-12-03,83.8105
2021-12-02,83.8354
2021-12-01,84.8234
2021-11-30,84.482
2021-11-27,84.9526
2021-11-26,83.6793
2021-11-25,83.6394
2021-11-24,84.1718
2021-11-23,82.7715
2021-11-20,82.5845
2021-11-19,82.2583
2021-11-18,82.3553
2021-11-17,82.5244
2021-11-16,82.7736
2021-11-13,82.2173
2021-11-12,81.6552
2021-11-11,81.787
2021-11-10,82.6497
2021-11-09,82.5355
2021-11-04,82.8112
2021-11-03,82.9577
2021-11-02,82.1687
2021-10-30,82.2898
2021-10-29,81.8393
2021-10-28,81.0289
2021-10-27,80.7019
2021-10-26,81.7418
2021-10-23,82.4979
2021-10-22,82.6399
2021-10-21,82.6162
2021-10-20,82.6841
2021-10-19,82.4592
